Planet,Title,Authors,Year of Publication,Summary,Length,Goodreads Id,polarity,subjectivity
Mars,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",1897,"With H.G. Wells other novels, The War of the Worlds was one of the first and greatest works of science fiction ever to be written. Even long before man had learned to fly, H.G. Wells wrote this story of the Martian attack on England. These unearthly creatures arrive in huge cylinders, from which they escape as soon as the metal is cool. The first falls near Woking and is regarded as a curiosity rather than a danger until the Martians climb out of it and kill many of the gaping crowd with a Heat-Ray. These unearthly creatures have heads four feet in diameter and colossal round bodies, and by manipulating two terrifying machines the Handling Machine and the Fighting Machine they are as versatile as humans and at the same time insuperable. They cause boundless destruction. The inhabitants of the Earth are powerless against them, and it looks as if the end of the World has come. But there is one factor which the Martians, in spite of their superior intelligence, have not reckoned on. It is this which brings about a miraculous conclusion to this famous work of the imagination.",192,8909,0.016614104,0.458737407
Mars,Two Planets,"Kurd Lasswitz, Hans H Rudnick, Mark Robert Hillegas, Erich Lasswitz",1897,"Kurd Lasswitzâ€™s 1897 utopian novel describes manâ€™s first encounter with beings of higher intelligence from another planet, the inhabitants of Mars. Physically differing little from man, but intellectually, ethically, scientifically, and socially far advanced, the Martians seek to educate man, whom they encounter at the North Pole, where they seek air and energy to supplement the diminished supplies in their own, older world. The encounter is seen through the eyes of several characters, both Martian and human, and the action is drawn together by the love affair between a beautiful Martian girl and a man from the earth exploring party.",416,3199562,0.092177243,0.49513361
Neptune,The Star,H.G. Wells,1897,"First published in the magazine The Graphic, December 1897.In January (about 1900, presumably), the people of Earth awaken to the notion that a strange luminous object has erupted, into the Solar System, after disturbing the normal orbit of the planet Neptune. Indeed, such object is a luminous celestial body, whose luminosity is distinguishable on the sky about the constellation of Leo.",15,15986051,-0.025,0.472222222
Mars,Edison's Conquest of Mars,Garrett P. Serviss,1898,"Edisonâ€™s Conquest of Mars, by Garrett P. Serviss, is one of the many science fiction novels published in the nineteenth century. Although science fiction was not at the time thought of as a distinct literary genre, it was a very popular literary form, with almost every fiction magazine regularly publishing science fiction stories and novels. â€œEdisonâ€™s Conquest of Marsâ€ù was published in 1898 as an unauthorized sequel to H. G. Wellsâ€™s The War of the Worlds, but did not achieve the fame of its predecessor. The book was endorsed by Thomas Edison, the hero of the book â€” though not by Wells. ",339,35505720,0.296666667,0.346153846
The Moon,The First Men in the Moon,H.G. Wells,1901,"When penniless businessman Mr Bedford retreats to the Kent coast to write a play, he meets by chance the brilliant Dr Cavor, an absent-minded scientist on the brink of developing a material that blocks gravity. Cavor soon succeeds in his experiments, only to tell a stunned Bedford the invention makes possible one of the oldest dreams of humanity: a journey to the moon. With Bedford motivated by money, and Cavor by the desire for knowledge, the two embark on the expedition. But neither are prepared for what they find - a world of freezing nights, boiling days and sinister alien life, on which they may be trapped forever.",213,536478,0.04547583,0.485915901
Mars,"Lieut. Gullivar Jones, His Vacation",Edwin Lester Arnold,1905,"Lieutenant Gulliver Jones, U.S.N., arrived on Mars in a most unexpected fashion and promptly found himself head-over-heels in adventure. For Mars was a planet of ruined cities, ancient peoples, copper-skinned swordsmen, and weird and awesome monsters. There was a princess to be rescued, a River of Death to be navigated, and a strange prophecy to be fulfilled.Here is a long-lost classic of inter-planetary adventure which some science-fiction experts think may have helped to inspire the immortal Edgar Rice Burroughs. Though by no means a Burroughs novel, everyone who has ever enjoyed a novel of Barsoom will find Edwin L. Arnold's GULLIVER OF MARS a special reading delight.Originally published as Lieut. Gulliver Jones: His Vacation.",301,3556533,0.07283921,0.476815172
Mars,Decimon Huydas: A Romance of Mars,Sara Weiss,1906,"In planetary language, which all advanced spirits understand, Evon T'hia (for Love's Sake) is the watchword of all engaged in eu deavor to uplift humanity on both the physical and spirit planes, of being; and such Spirits ever strive to unfold such mentalities as are sensitive to their approach: for only through sensitives can the truth of the continuity of existence be demonstrated. ",190,30843333,0.124481952,0.542133747
Mars,Red Star,"Alexander Bogdanov, Charles Rougle",1908,"[A] surprisingly moving story. --The New Yorker""Bogdanov's novels reveal a great deal about their fascinating author, about his time and, ironically, ours, and about the genre of utopia as well as his contribution to it."" --Slavic Review""Bogdanov's imaginative predictions for his utopia are both technological and social... Even more farsighted are [his] anxious forebodings about the limits and costs of the utopian future."" --Science Fiction Studies""The contemporary reader will marvel at [Bogdanov's] foresight: nuclear fusion and propulsion, atomic weaponry and fallout, computers, blood transfusions, and (almost) unisexuality."" --ChoiceA communist society on Mars, the Russian revolution, and class struggle on two planets is the subject of this arresting science fiction novel by Alexander Bogdanov (1873-1928), one of the early organizers and prophets of the Russian Bolshevik party. The red star is Mars, but it is also the dream set to paper of the society that could emerge on earth after the dual victory of the socialist and scientific-technical revolutions. While portraying a harmonious and rational socialist society, Bogdanov sketches out the problems that will face industrialized nations, whether socialist or capitalist.",257,400399,0.090412638,0.486582791
Venus,A Columbus of Space,Garrett P. Serviss,1911,"We simply listened in silence; for what could we say? The facts were more eloquent than any words, and called for no commentary. Here we ""were, "" out in the middle of space; and ""there"" was the earth, hanging on nothing, like a summer cloud. At least we knew where we were if we didn't quite understand how we had got there. . . .",212,2124691,0.120714042,0.522480652
Mars,"A Princess of Mars (Barsoom, #1)","Edgar Rice Burroughs, John Seelye",1912,"Her oval face was beautiful in the extreme, her every feature finely chisled and exquisite, her eyes large and lustrous and her head surmounted by a mass of coal black, waving hair, caught loosely into a strange yet becoming coiffure. Similar in face and figure to women of Earth, she was nevertheless a true Martian--and prisoner of the fierce green giants who held me captive, as well!First book in Edgar Rice Burroughs's Mars series.",186,40395,0.079639836,0.490038898
Mars,"The Gods of Mars (Barsoom, #2)",Edgar Rice Burroughs,1913,"1886. John Carter, forever 30, returns to Mars and again fights enemies with green Tars Tarka and red Kantos Kan. In 'Heaven', Golden Cliffs, 'Goddess' Issus, cannibal, claims immortal divinity and supremacy of black Omeans and white Therns, to enslave and eat pilgrims - green or red. John is trapped, as is wife Dejah Thoris, son Carthoris. To stay or leave means death.",190,841973,0.06356831,0.493840709
Mars,"The Warlord of Mars (Barsoom, #3)","Edgar Rice Burroughs, John Bolen",1914,"John Carter risks everything to rescue his wife, Princess Dejah Thoris, from the clutches of his evil adversaries, but he is always just one step behind! His battles cover the face of the red planet, as his quest carries him ultimately to the mysterious northern pole. Will this civilization, submerged in ice, prove fatal to our hero? This is the third of eleven in the popular 'Martian' series by Edgar Rice Burroughs.",158,40379,0.075697588,0.480439172
Mars,"Thuvia, Maid of Mars (Barsoom, #4)",Edgar Rice Burroughs,1916,"Mars has become divided by love. Not one, but two princes and a Jeddak are vying for the love of Thuvia of Ptarth. When she is mysteriously kidnapped, treachery threatens to throw Barsoom into bloody war.",160,40387,0.079677784,0.482048318
Pluto,Fungi from Yuggoth and Other Poems,"H.P. Lovecraft, August Derleth, Frank Utpatel",1920,"Howard Phillips Lovecraft, (1890 - 1937) is in the top rank of American writers in the genre of the macabre. Since publication of The Outsider and Others in 1939, his work has been published in many parts of the world, widely anthologised, and filmed. His books include The Survivor and Others, The Dream Quest of Unknown Kadath, The Doom That Came to Sarnath, Fungi from Yuggoth and Other Poems, The Tomb and Other Tales, At the Mountains of Madness, The Lurker at the Threshold (Lovecraft and Derleth) and The Lurking Fear. Lovecrat was born and lived most of his life in Providence, Rhode Island.1.""Foreword"", by August Derleth2.""Providence""3.""On a Grecian Colonnade in a Park""4.""Old Christmas""5.""New England Fallen""6.""On a New England Village Seen by Moonlight""7.""Astrophobos""8.""Sunset""9.""To Pan""10.""A Summer Sunset and Evening""11.""To Mistress Sophia Simple, Queen of the Cinema""12.""A Year Off""13.""Sir Thomas Tryout""14.""Phaeton""15.""August""16.""Death""17.""To a Youth""18.""My Favorite Character""19.""To Templeton and Mount Monadnock""20.""The Poe-et's Nightmare""21.""Lament for the Vanished Spider""22.""Regnar Lodbrug's Epicedium""23.""Little Sam Perkins""24.""Drinking Song from the Tomb""25.""The Ancient Track""26.""The Eidolon""27.""The Nightmare Lake""28.""The Outpost""29.""The Rutted Road""30.""The Wood""31.""The House""32.""The City""33.""Hallowe'en in a Suburb""34.""Primavera""35.""October""36.""To a Dreamer""37.""Despair""38.""Nemesis""39.""Yule Horror""40.""To Mr. Finlay, Upon His Drawing for Mr. Bloch's Tale, 'The Faceless God'""41.""Where Once Poe Walked""42.""Christmas Greetings to Mrs. Phillips Gamwell1925""43.""Brick Row""44.""The Messenger""45.""To Klarkash-ton, Lord of Averoigne""46.""Psychopompos""47.""The Book""48.""Pursuit""49.""The Key""50.""Recognition""51.""Homecoming""52.""The Lamp""53.""Zaman's Hill""54.""The Port""55.""The Courtyard""56.""The Pigeon-Flyers""57.""The Well""58.""The Howler""59.""Hesperia""60.""Star Winds""61.""Antarkos""62.""The Window""63.""A Memory""64.""The Gardens of Yin""65.""The Bells""66.""Night Gaunts""67.""Nyarlathotep""68.""Azathoth""69.""Mirage""70.""The Canal""71.""St. Toad's""72.""The Familiars""73.""The Elder Pharos""74.""Expectancy""75.""Nostalgia""76.""Background""77.""The Dweller""78.""Alienation""79.""Harbour Whistles""80.""Recapture""81.""Evening Star""82. ""Continuity""Cover Illustration: Gervasio Gallardo",138,1764814,-0.029148002,0.488517544
Mars,"The Chessmen of Mars (Barsoom, #5)","Edgar Rice Burroughs, John Bolen",1922,"Impetuous and headstrong, Tara, Princess of Helium and daughter of John Carter, defies the elements by flying into a rare, fierce Martian storm. Hurtled half a planet from her home she is threatened by grotesque, flesh eating monsters and barbarous warriors.",220,40378,0.081294217,0.493574267
Mars,Aelita,Aleksey Nikolayevich Tolstoy,1922,"Tolstoi published two science fiction novels, both of which appeared in the experimental 1920s and which were revised during the following decades of Stalinist terror. Aelita (1923) is a science-fiction fantasy in the manner of H.G. Wells, telling the story of a Soviet expedition to Mars with the aim of establishing communism. A Red Army officer forments a rebellion of the native Martians, who are in fact long-ago emigrants from Atlantis. The story was adapted into a screen play in 1924. Its futuristic, expressionistic sets were designed by Isaac Rabinovitch of the Kamerny Theatre. The film influenced the design in Flash Gordon, a space opera, which was created by the artist Alex Raymond in 1934 and led to a popular radio serial and several films. Giperboloid inzhenera Garina (1926, The Death Box) described an attempt of an unscrupulous inventor to use his death ray to conquer the world. He manages to rule a decadently capitalist USA for a short period.",280,245715,0.034398087,0.461664374
The Moon,Menace From The Moon,"Bohan Lynch, William A.S. Sarjeant",1925,"Inhabitants of the moonâ€çâ€”â€Œdescendants of ""a Dutchman, an Englishman, and an Italian"" who in 1654 ""with their women rose to the moon by the help of an admirable machine""â€_[2]â€çâ€”â€Œfind themselves threatened with extinction. Having lost the secrets of ""the engine which brought our forefathers hither"", they issue distress signals in the form of optical projections, onto the mists of Dartmoor, of the universal ""Real Character"" expounded by 17th-century bishop and polymath John Wilkins in his An Essay towards a Real Character, and a PhiloÂ_sophÂ_ical Language (1668). Unfortunately the earthlings, not having adopted the Wilkins plan themselves, have difficulty apprehending the import of these spectral presentments (mistaking them at first for ""Siamese writing"") and even once they do they lack the technology with which to respond. With time running out and their survival at stake, the impatient and irritable moon-men determine to command the attention of their terrestrial cousins in a more compelling way, deploying a devastating heat-ray capable of boiling the oceans: ""Hasten, hasten: help us to escape. Otherwise the whole earth will be burned dry and eaten up ... Answer us, fools!"" After a demonstration of this apparatus so unnerves visitors to an Italian resort that they are unable to enjoy their lunch, a frenzied search for plans to the 17th-century moon-ship ends in frustration, a short scrap of Wilkinsese being all that is found once the plans' hiding place is discovered. An anticlimax is reached when, just as the destruction of humanity seems inevitable, it is realized that these menacing messages had in fact been dispatched months earlierâ€çâ€”â€Œan obscure phenomenon had delayed their transitâ€çâ€”â€Œand that in the interim the moon's infuriated denizens had inadvertently killed themselves through misfire of the very weapon with which they had sought to take revenge on what they believed to be an uncaring Earth. Explains Professor Lancelot Downey, the story's scientific protagonist: ""I conceive the Moonfolk to be in the position of a native who, having learnt to fire a gun without knowing much about it, puts in three times the normal charge to produce a particularly deadly effect, and blows himself to pieces.""â€_[2] ",220,5476063,-0.016666667,0.461904762
Venus,Station X,G. McLeod Winsor,1926,"Published in 'Amazing Stories' Volume 01, Number 04, July 1926",320,34114254,0.085475244,0.507389764
Mars,"The Master Mind of Mars (Barsoom, #6)",Edgar Rice Burroughs,1927,"Former Earthman Ulysses Paxton served Barsoom's greatest scientist, until his master's ghoulish trade in living bodies drove him to rebellion. Then, to save the body of the woman he loved, he had to attack mighty Phundahl, and its evil, beautiful ruler.",160,40385,0.116119971,0.49460863
"The Moon, Mars","Doctor Dolittle in the Moon (Doctor Dolittle, #8)",Hugh Lofting,1928,"In Doctor Dolittle in the Moon Doctor Dolittle has landed on the Moon. He meets Otho Bludge the Moon Man, a Stone Age artist who was the only human on the Moon when it broke away from the Earth. The animals of the Moon flock to Doctor Dolittle, and he discovers how to communicate with the intelligent plants there. But will the lunar flora and fauna ever let him leave? Hugh John Lofting was a British author who created the character of Doctor Dolittle - one of the classics of children's literature. His early education was at Mount St Mary's College in Sheffield, after which he went to the United States, completing a degree in civil engineering at the Massachusetts Institute of Technology. He enlisted in the Irish Guards to serve in World War I. Not wishing to write to his children of the brutality of the war, he wrote imaginative letters that were the foundation of the Doctor Dolittle novels.",148,325451,0.106062473,0.502877735
The Moon,The rocket to the moon,Thea von Harbou,1928,"The Rocket to the Moon is a 1928 science fiction novel by the German writer Thea von Harbou. Its German title is Die Frau im Mond, which means ""the woman in the moon"". It is about a fictitious moon mission. The book was translated into English by Baroness von Hutten and published in 1930 as The Girl in the Moon.[1] It was republished in 1977 as The Rocket to the Moon.[2]",187,244758,0,0
Venus,Planet of Peril,Otis Adelbert Kline,1929,"Derring-do on a world of primitive monsters! When Robert Grandon swapped bodies with a prince of the planet Venus, he was concerned only with the thrill and interest of living on a different world. But the situation he found himself in was hardly that of a leisurely sightseer. Instead, he found himself smack in the center of a whirlwind of intrigue, danger, and desperation.Planet of Peril is a science-fiction adventure on a world of semi-barbaric nations, ferocious beasts, gigantic reptiles, and maidens in distress!",136,2248614,0.079176308,0.483098218
"Venus, Mars, Neptune",Last and First Men,Olaf Stapledon,1930,"No book before or since has ever had such an impact upon my imagination, declared Arthur C. Clarke of Last and First Men. This masterpiece of science fiction by British philosopher and writer Olaf Stapledon (18861950) is an imaginative, ambitious history of humanity's future that spans billions of years. Together with its follow-up, Star Maker, it is regarded as the standard by which all earlier and later future histories are measured.The protagonist of this compelling novel is humanity itself, stripped down to sheer intelligence. It evolves through the ages: rising to pinnacles of civilization, teetering on the brink of extinction, surviving onslaughts from other planets and a decline in solar energy, and constantly developing new forms, new senses, and new intellectual abilities. From the present to five billion years into the future, this romance of humanity abounds in profound and imaginative thought.",246,2749148,0.10232695,0.478360219
Mars,"A Fighting Man of Mars (Barsoom, #7)",Edgar Rice Burroughs,1930,"Sanoma Tora has been kidnapped! No one knows why, but Hadron of Hastur is determined to save her. ",239,40386,0.093768503,0.494562409
"Mars, Venus","Prince of Peril (Robert Grandon, #2)","Otis Adelbert Kline, Roy Krenkel Jr.",1930,"Through the discoveries of the scientist, Dr. Morgan, a young Martian's astral body is projected into the body of one Harry Thorne on Earth, and from Earth to Venus, or ""Zarovia,"" where the man of Mars becomes Prince Zinlo of the mighty empire of Olba. Zinlo is instructed by Morgan's fellow-scientist Vorn Vangal in the universal language of Venus and other skills. An attempt to kidnap Zinlo by Taliboz, a secret foe of the empire, forces him to flee in an Olban airship. He crashes in the empire of Adonijar, where his quarrel with Prince Gadrimel over the Princess Loralie of Tyrhana is interrupted by Taliboz, who seizes the girl. Zinlo and Gadrimel pursue Taliboz, and many thrilling adventures are encountered by Prince Zinlo.",174,2353946,0.075736422,0.482801844
Venus,The Black Star Passes,John W. Campbell Jr.,1930,"THREE AGAINST THE STARS! A sky pirate armed with superior weapons of his own invention...First contact with an alien race dangerous enough to threaten the safety of two planets...The arrival of an unseen dark sun whose attendant marauders aimed at the very end of civilization in this Solar System...These were the three challenges that tested the skill and minds of the brilliant team of scientist-astronauts Arcot, Wade, and Morey. Their initial adventures are a classic of science fiction which first brought the name of their author, John W. Campbell, Jr., into prominence as a master of the inventive imagination -- long before he became the editor of Astounding/Analog and changed the field of science fiction forever!",176,923614,0.107877841,0.499127836
Mars,Sleepers Of Mars,John Wyndham,1931,"Coronet Books recently published STOWAWAY TO MARS, one of John Wyndhams most famous stories. The title story of this collection, though it can be read as a separate entity, pursues the ideas thrown up by the original novel, drawing them to some fascinating conclusions. Of course, we are now well used to the idea of Man On The Moon, we have become blas as to the possibilities of inter-planetary travel. But imagine two expeditions to Mars, one British, the other Russian, both in the process of discovering a mechanical race, invented and produced by the Martians as they believe their specie to be dying. The other four novellas in this collection give further evidence of John Wyndhams genius at invention, characterisation and sense of movement.",160,1492250,0.055729427,0.473178265
Ganymede,Spacehounds of IPC,"E.E. ""Doc"" Smith",1931,"Marauders in outer space! It was a routine passenger flight to Mars. Everything on course, until...the gigantic ship gave a slight shiver and fell apart at midsection. The Arcturus, invincible cruiser of the void, was being sliced into pieces by blinding planes of light! Steve and Nadia, cut off from the rest of the ship, watched in horror as the lethal scissors of light came closer and closer to their hiding place. They were trapped in space by a frightful enemy, the super-scientists of Jupiter!",220,1914572,0.080324471,0.509165302
Pluto,The Whisperer in Darkness,H.P. Lovecraft,1931,"The story is told by Albert N. Wilmarth, an instructor of literature at Miskatonic University in Arkham. When local newspapers report strange things seen floating in rivers during a historic Vermont flood, Wilmarth becomes embroiled in a controversy about the reality and significance of the sightings, though he sides with the skeptics. Wilmarth uncovers old legends about monsters living in the uninhabited hills who abduct people who venture or settle too close to their territory. Howard Phillips Lovecraft was an American author of fantasy, horror and science fiction. He is notable for blending elements of science fiction and horror; and for popularizing ""cosmic horror"" the notion that some concepts, entities or experiences are barely comprehensible to human minds, and those who delve into such risk their sanity. Lovecraft has become a cult figure in the horror genre and is noted as creator of the ""Cthulhu Mythos,"" a series of loosely interconnected fictions featuring a ""pantheon"" of nonhuman creatures, as well as the famed Necronomicon, a grimoire of magical rites and forbidden lore. His works typically had a tone of ""cosmic pessimism,"" regarding mankind as insignificant and powerless in the universe. Lovecraft's readership was limited during his life, and his works, particularly early in his career, have been criticized as occasionally ponderous, and for their uneven quality. Nevertheless, Lovecraft's reputation has grown tremendously over the decades, and he is now commonly regarded as one of the most important horror writers of the 20th Century, exerting an influence that is widespread, though often indirect.",70,33515572,0.0458245,0.485418085
